"
Name"			"
Dilution"	IFNy	TNFa			IL4	IL2
				pg/ml	pg/ml			pg/ml	pg/ml
controls_M0 - 1 A_009.fcs			1	274.07	4311.98			28.13	5846.85
controls_M0 - 1 B_013.fcs			1	86.20	2289.84			31.33	2719.71
controls_M0 - 2 A_033.fcs			1	2174.87	2743.67			1035.96	3685.54
controls_M0 - 2 B_037.fcs			1	1267.18	2360.21			632.71	2884.79
controls_M0 - 3 A_056.fcs			1	819.53	3443.17			598.84	4769.41
controls_M0 - 3 B_060.fcs			1	2113.67	4811.76			1623.68	7043.93
controls_M0 - 4 A_080.fcs			1	3169.26	6316.39			27.53	8670.85
controls_M0 - 4 B_084.fcs			1	3609.40	9308.94			144.06	11461.82
controls_M0 CD155 1 A_010.fcs			1	779.42	>11940.06			34.52	>12345.11
controls_M0 CD155 1 B_014.fcs			1	76.88	2384.10			18.41	2719.71
controls_M0 CD155 2 A_034.fcs			1	2324.27	3305.63			828.40	4508.90
controls_M0 CD155 2 B_038.fcs			1	896.71	1769.28			668.88	1938.23
controls_M0 CD155 3 A_057.fcs			1	741.16	2635.87			650.50	3467.05
controls_M0 CD155 3 B_061.fcs			1	683.61	3048.72			770.62	4043.51
controls_M0 CD155 4 A_081.fcs			1	2113.67	6735.14			40.56	8989.08
controls_M0 CD155 4 B_085.fcs			1	1977.14	6316.39			51.94	5194.82
controls_M0 CD155 PDL1  3 A_059.fcs			1	870.25	3777.93			237.11	5384.86
controls_M0 CD155 PDL1  3 B_063.fcs			1	508.43	3624.56			770.62	5163.61
controls_M0 CD155 PDL1 1 A_012.fcs			1	519.00	4131.24			47.66	5612.57
controls_M0 CD155 PDL1 1 B_016.fcs			1	55.59	1835.88			18.01	1874.16
controls_M0 CD155 PDL1 2 A_036.fcs			1	2073.78	2266.80			865.57	2863.80
controls_M0 CD155 PDL1 2 B_040.fcs			1	2460.01	3373.60			687.88	24.25
controls_M0 CD155 PDL1 4 A_083.fcs			1	5912.55	11893.50			124.46	>12345.11
controls_M0 CD155 PDL1 4 B_087.fcs			1	4626.86	>11940.06			185.31	>12345.11
controls_M0 PDL1  3 A_058.fcs			1	1137.47	3339.42			624.04	4424.26
controls_M0 PDL1  3 B_062.fcs			1	1813.84	3496.44			1493.22	4918.49
controls_M0 PDL1 1 A_011.fcs			1	2154.29	>11940.06			55.41	>12345.11
controls_M0 PDL1 1 B_015.fcs			1	861.60	4577.77			29.69	6407.77
controls_M0 PDL1 2 A_035.fcs			1	4032.18	3587.40			598.84	4828.67
controls_M0 PDL1 2 B_039.fcs			1	4339.68	3817.49			828.40	5449.25
controls_M0 PDL1 4 A_082.fcs			1	6297.48	>11940.06			103.04	>12345.11
controls_M0 PDL1 4 B_086.fcs			1	6074.70	>11940.06			105.34	>12345.11
controls_MIL4 -  2 B_045.fcs			1	1115.28	6121.75			516.17	8404.64
controls_MIL4 - 1 A_017.fcs			1	324.77	>11940.06			30.67	>12345.11
controls_MIL4 - 1 B_021.fcs			1	123.65	8481.66			16.67	10094.74
controls_MIL4 - 2 A_041.fcs			1	3351.27	>11940.06			1708.78	>12345.11
controls_MIL4 - 3 A_064.fcs			1	503.23	>11940.06			1331.62	>12345.11
controls_MIL4 - 3 B_068.fcs			1	2460.01	>11940.06			2638.13	>12345.11
controls_MIL4 - 4 A_088.fcs			1	6074.70	10839.68			231.54	>12345.11
controls_MIL4 - 4 B_092.fcs			1	3745.42	11893.50			537.31	>12345.11
controls_MIL4 CD155  2 B_046.fcs			1	2859.64	>11940.06			1468.70	>12345.11
controls_MIL4 CD155  3 A_065.fcs			1	1510.05	>11940.06			329.19	>12345.11
controls_MIL4 CD155 1 A_018.fcs			1	529.78	>11940.06			33.42	>12345.11
controls_MIL4 CD155 1 B_022.fcs			1	404.81	10283.62			29.06	11406.83
controls_MIL4 CD155 2 A_042.fcs			1	2603.24	>11940.06			1068.18	>12345.11
controls_MIL4 CD155 3 B_069.fcs			1	2302.35	>11940.06			3211.94	>12345.11
controls_MIL4 CD155 4 A_089.fcs			1	5401.20	10109.23			359.29	11795.95
controls_MIL4 CD155 4 B_093.fcs			1	6129.69	>11940.06			707.53	>12345.11
controls_MIL4 CD155 PDL1   3 A_001_067.fcs			1	557.65	>11940.06			918.31	>12345.11
controls_MIL4 CD155 PDL1  2 A_044.fcs			1	3745.42	10839.68			1738.37	ND
controls_MIL4 CD155 PDL1  3 B_071.fcs			1	1383.58	>11940.06			3345.29	>12345.11
controls_MIL4 CD155 PDL1 1 A_020.fcs			1	971.03	>11940.06			73.39	>12345.11
controls_MIL4 CD155 PDL1 1 B_024.fcs			1	311.32	>11940.06			74.20	>12345.11
controls_MIL4 CD155 PDL1 4 A_091.fcs			1	8995.74	11450.95			245.75	>12345.11
controls_MIL4 CD155 PDL1 4 B_095.fcs			1	10447.89	>11940.06			852.96	>12345.11
